"Mã công thức","Mã chi nhánh","Chi nhánh","Mã món","Cỡ","Mã nguyên liệu","Tên nguyên liệu","Số lượng","Đơn vị dùng","Hệ số quy đổi về ĐVT kho","Ghi chú"
"SKU-CAP-012-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-012","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-012","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-012","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-012","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-013","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-013","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-013","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-013","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-013","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-013","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-013","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-013","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-013-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-013","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-014","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-014","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-014","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-014","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-014","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-014","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-014","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-014","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-014-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-014","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-015","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-015","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-015","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-015","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-015","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-015","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-015","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-015","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-015-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-015","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-016","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-016","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-016","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-016","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-016","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-016","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-016","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-016","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-016-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-016","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-017","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-017","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-017","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-017","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-017","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-017","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-017","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-017","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-017-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-017","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CPT-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-M-BOM","CNH-XPR","Xưởng Premium","SKU-CPT-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CPT-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CPT-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-L-BOM","CNH-XPR","Xưởng Premium","SKU-CPT-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CPT-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CPT-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CPT-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CPT-002-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CPT-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
